Title,Title_URL,Rating,Date,Position,Status,Location,View7,View8,View9,View10,helpfulness
Glorified call center role,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW60475747.htm,4.0,"Mar 1, 2022",SOAR Program Associate,"Current Employee, less than 1 year",,Pros,"- Benefits
- 5k employee appreciation pay for all FT employees, regardless of length of employment",Cons,"Don’t be fooled - this role is literally just working at a call center, but the job description is very vague, and they are very deceptive throughout the interview process in order to make this role seem like more than it is. The first rotation was okay because you got to work in other roles and it wasn’t just a call center position, but in the second rotation, the managers and leads begin to micromanage you and treat you like you’re a child + you’re just taking calls all day every day.. Steer clear of this job if you’re looking for a position that’s not a call center role and will provide you with upward mobility.",4
Benefits,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72383251.htm,3.0,"Jan 6, 2023",Financial Customer Associate,Current Employee,,Pros,Fidelity has great benefits for everything,Cons,Long days and some micro managing,
tech support,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70767535.htm,3.0,"Nov 3, 2022",Electronic Channel Support Specialist,"Former Employee, more than 3 years","West Lake Hills, TX",Pros,"Good people , great benefits",Cons,hard to get time off if it's not set like 4 weeks in advance. You sign up to be tech support and the throw finance work on to you . So you are basically working twice as hard for the same pay as a regular Customer service associate .,
Launch Program=Call Center,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW58149755.htm,2.0,"Jan 18, 2022",Launch Program Associate,"Former Employee, less than 1 year",,Pros,"-Decent pay $21.63 an hour
-Moving stipend up to 5k
-Appreciation pay (bonus) 5k even only being employed for 3 months 
-Benefits are great, health vision, student loan assistance
-opportunities to network virtually",Cons,"-they market this program as a career move for recent college graduates where you get to learn different facets of the company. In reality it is just a call center. You are a customer service representative. After the 14 month program you are eligible to apply for different positions, if there are none available you stay on the phones. The phones are demoralizing and repetitive. This is a call center role. YOU HAVE BEEN WARNED.
-thousands of zoom calls very pointless
-moving to other departments outside of the call center can be difficult and met with a lot of resistance. You will often hear you have to “pay your dues” before you pursue a career aligned with your degree",8
Solid Employer,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70244556.htm,5.0,"Oct 17, 2022",Agile Coach,"Current Employee, more than 5 years","Cincinnati, OH",Pros,"Benefits, culture, and ability to spend time learning + Flexibility",Cons,"Often lower base pay, still has ""put your time in"" areas of the company that pays for loyalty vs performance.",
"Good company overall, but your experience depends a lot on your manager",https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70283802.htm,4.0,"Oct 18, 2022",Relationship Manager,Former Employee,,Pros,"great supportive learning & sharing culture, great benefits, flexibility when structuring your day.",Cons,"This role varies from one branch to another and depends a great deal on your branch manager. Involves a lot of outbound calling, can involve a lot of planning as well, depending on financial consultants you support.",
Great Job,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71101462.htm,4.0,"Nov 15, 2022",High Net Worth Financial Representative,"Current Employee, more than 1 year",,Pros,Good benefits Good bonuses Good opportunities to move up,Cons,Strict time metrics on log in and break times,1
Great workplace,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71066033.htm,5.0,"Nov 14, 2022",Customer Relationship Associate,"Current Employee, less than 1 year","Durham, NC",Pros,"I cannot complain at all. This company pays good and has a great career planning program. Free lunch when in the office, on site gym... Benefits are great.",Cons,Internal disagreements about working from home and how often to come in the office.,
Great Company,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71623045.htm,5.0,"Dec 5, 2022",Sr. Project Manager,"Former Employee, more than 10 years",,Pros,"Great support, benefits and growth opportunities. Feel empowered.",Cons,At times may need to put in some long days,
Fixed Income Specialist,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW67068733.htm,3.0,"Jul 23, 2022",Fixed Income Specialist,"Current Employee, more than 3 years","Denver, CO",Pros,You get to be the specialist on all things fixed income for the personal investing group. You learn a lot and get to build bond ladders for clients. The pay is also great. Great benefits too.,Cons,You are expected to be on the phone all day answering questions from financial consultants and customers. Conversations can get very repetitive and it requires a lot of patience. Micromanagement is strong. Turning service calls into sales calls also gets exhausting.,
Excellent Remote Opportunity,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71019372.htm,4.0,"Nov 12, 2022",Central Relationship Manager,"Current Employee, more than 1 year",,Pros,"Great firm and culture. A lot of chance to move other directions and for career development, coaching and advancement. A lot of small perks along the way.",Cons,"Compensation not quite as high as competitors, but balanced by firm culture and excellent benefits.",
Very strict and forces you to do everything on your own,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70788471.htm,2.0,"Nov 4, 2022",Customer Relationship Advocate,"Former Employee, less than 1 year",,Pros,A lot of independence and self-pace.,Cons,"If you have questions, you don't have a lot of flexibility to ask them or to ask for help. You have to do everything on your own and in the strict parameters given.",1
Good,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW72069303.htm,5.0,"Dec 22, 2022",Associate Software Engineer,"Current Employee, less than 1 year","Merrimack, NH",Pros,The company culture is great. Everyone is very friendly.,Cons,Pay might not be most competitive,
It’s a career,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW71502234.htm,4.0,"Nov 30, 2022",Senior Product Director,"Former Employee, more than 10 years",,Pros,"Fidelity offers good compensation, market, leading retirement savings, ample development, opportunity, and personal enrichment",Cons,"Expect to work long and hard! You will be rewarded, but it can be overwhelming",
Avoid at all costs,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW70378138.htm,1.0,"Oct 21, 2022",Customer Relationship Advocate,"Former Employee, more than 1 year","Merrimack, NH",Pros,Skills look good on a resume,Cons,Everything else. Customers are rude. Company doesn't protect. Management only cares about Metrics that have no context. Sign off codes are strict even for non phone related blocks. Messing up a sign off code Ops won't even help you correct. This company doesn't treat you like a human,10
Good,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW67446342.htm,4.0,"Aug 2, 2022",Senior Software Engineer,"Current Employee, less than 1 year","Durham, NC",Pros,"- easy to talk to different team
- free educational courses 
- alternate Tuesday learning 
- manager’s cares about your well being",Cons,- less base pay and the HR tells up to 20% bonus depending on the level,
Fidelity InvestmentsWorkplace Planning Consultant,https://www.glassdoor.com/Reviews/Employee-Review-Fidelity-Investments-RVW68287899.htm,4.0,"Aug 24, 2022",Workplace Planning Associate,Current Employee,"Westlake, TX",Pros,The job is an extremely well paying position for someone that is fresh out of college. They compensate you while you study to be licensed as well which is a plus. There is a very direct career path to being successful in the firm,Cons,Cons is the work that you are performing is very simple and there is no form of challenge. You are essentially a robot on the phone talking to people all day. Very unfulfilling role,
